ts,imei,mwra,c.katana,c.dogalize,c.android.gm,c.android.chrome,c.android.youtube,c.updateassist,c.android.vending,c.UCMobile.intl,c.UCMobile.x86,c.raider
2018-05-05 10:00:00,3590433799317661552,0.0,15.7209,10.80491,11.79408,5.92277,7.43807,0.01954,69.6549,13.7355,66.5803,41.59012
2018-05-05 10:01:00,8630330696303481248,1.0,11.4369,12.38807,13.82069,7.206,6.94971,0.01069,61.1459,73.83221,8.59535,95.26656
2018-05-05 10:02:00,359043379931766676,1.0,9.34778,10.50415,7.12585,14.05647,9.05383,0.01498,39.58487,36.59965,34.06113,28.64027
2018-05-05 10:03:00,863033069630348883,1.0,8.373,11.65284,11.90423,7.2974,12.36796,0.51325,68.59831,20.00558,97.47967,30.93221
2018-05-05 10:04:00,8630330696303482329,1.0,12.78712,14.5414,9.70245,12.3585,8.97389,0.01129,66.70276,67.25367,75.24635,76.7825
2018-05-05 10:05:00,3590433799317661339,0.0,14.24257,4.89486,11.58301,14.25707,12.85422,0.21798,58.99634,46.45124,33.7143,57.05446
2018-05-05 10:06:00,863033069630348982,1.0,17.67009,13.99398,7.2643,11.79286,9.87553,0.00874,38.48898,84.37216,72.74385,78.42915
2018-05-05 10:07:00,3590433799317661636,0.0,13.05996,10.87168,8.22906,9.37853,9.74487,0.77801,55.53222,82.42719,75.40522,47.59215
2018-05-05 10:08:00,8630330696303481586,0.0,11.85661,13.38162,9.08799,13.00626,13.18282,0.0098,72.1801,0.40402,87.87824,3.45991
2018-05-05 10:09:00,863033069630348503,1.0,10.68028,12.12876,11.95603,5.69913,11.70652,0.04006,69.57786,97.75956,57.78744,47.13575
2018-05-05 10:10:00,3590433799317661230,1.0,11.74229,12.38776,12.13976,6.54853,11.23967,0.02599,49.39659,88.19074,30.38762,44.22362
2018-05-05 10:11:00,8630330696303482303,0.0,10.97413,10.80648,6.68599,14.28565,10.88223,0.16646,28.80099,40.51111,36.18049,67.87318
2018-05-05 10:12:00,3590433799317662279,1.0,9.81771,12.8492,12.389,9.86218,12.85171,0.00179,59.40918,26.2598,8.69876,45.82038
2018-05-05 10:13:00,8630330696303481065,1.0,10.01388,15.15651,9.57796,9.6143,14.27942,0.0799,57.52763,68.8613,58.86567,27.30014
2018-05-05 10:14:00,863033069630348560,1.0,9.43014,12.49485,8.44191,7.64669,8.542,0.36277,59.08164,61.44503,73.81619,4.64266
2018-05-05 10:15:00,359043379931766726,0.0,15.8697,9.0972,14.19061,14.01607,15.48759,0.03307,50.52756,23.59202,63.41816,96.32562
2018-05-05 10:16:00,3590433799317661099,0.0,15.39458,7.74039,15.12506,14.52138,14.98319,0.03942,40.82008,58.44588,82.85786,26.50103
2018-05-05 10:17:00,863033069630348438,1.0,14.90395,12.52215,8.17892,11.23917,9.19263,0.10516,77.62073,85.3236,97.05124,21.397
2018-05-05 10:18:00,3590433799317662071,0.0,11.56588,9.09893,5.82095,10.0978,9.54992,0.02087,42.21649,17.15918,28.26468,60.67721
2018-05-05 10:19:00,863033069630348602,1.0,14.39165,12.01446,7.87669,10.09103,8.70491,0.11054,68.7609,87.5962,18.96856,43.18749
2018-05-05 10:20:00,863033069630348123,0.0,12.81999,12.16273,10.60876,8.31201,8.18774,0.06135,53.07611,29.81765,37.93285,13.30496
2018-05-05 10:21:00,863033069630348263,1.0,11.83886,10.8883,7.57318,9.76898,10.89535,0.12013,68.28322,79.17638,37.38284,85.09373
2018-05-05 10:22:00,863033069630348768,0.0,12.03169,9.00602,8.56313,14.53017,10.47036,0.03737,70.21463,9.01411,96.72312,92.70347
2018-05-05 10:23:00,8630330696303481909,1.0,8.97091,9.71357,11.79193,4.96923,13.40343,0.05443,66.67392,6.55327,61.44913,91.56824
2018-05-05 10:24:00,3590433799317661214,0.0,12.46687,6.38524,9.001,10.72404,12.18495,0.09943,56.46519,23.70975,88.29254,0.65786
2018-05-05 10:25:00,3590433799317662402,1.0,9.49704,11.10272,13.03979,7.81679,11.8364,0.03195,71.34662,67.61885,99.07006,72.03567
2018-05-05 10:26:00,8630330696303481065,1.0,12.92071,13.62586,8.79833,12.51862,8.00362,0.04431,45.50361,50.73069,61.70035,90.34643
2018-05-05 10:27:00,3590433799317661958,0.0,9.84235,10.07842,8.77739,13.90516,8.86153,0.10392,41.60473,40.0845,35.06032,88.15682
2018-05-05 10:28:00,8630330696303481818,1.0,8.81508,10.08866,13.78933,10.56913,12.24419,0.00543,34.78496,91.18463,51.96398,73.29538
2018-05-05 10:29:00,359043379931766916,1.0,14.54185,12.75587,9.06665,9.58549,10.5232,0.01014,59.98252,50.24068,9.95024,11.28986
2018-05-05 10:30:00,3590433799317662097,1.0,11.89083,10.49201,8.25812,5.39593,10.85428,0.41594,67.325,82.5246,49.51196,6.5588
2018-05-05 10:31:00,359043379931766379,1.0,7.33858,14.05814,12.68806,16.17412,12.4974,0.05881,27.51108,70.31387,69.29955,66.65521
2018-05-05 10:32:00,3590433799317662410,1.0,13.1177,10.98691,9.4535,6.84109,13.84076,0.00605,42.54495,25.72766,98.24102,30.2101
2018-05-05 10:33:00,3590433799317661578,0.0,12.60188,10.83556,7.02575,12.61234,11.51458,0.042,53.3585,29.07959,23.51426,64.69644
2018-05-05 10:34:00,3590433799317661784,1.0,13.15262,12.69772,8.73015,8.95008,10.32991,0.18325,38.08084,63.5227,22.15946,11.45957
2018-05-05 10:35:00,359043379931766015,1.0,9.23968,13.67228,12.71519,10.31701,12.88503,0.02765,62.73762,27.5317,71.7467,61.73839
2018-05-05 10:36:00,863033069630348537,1.0,7.84374,18.78071,12.28784,9.31148,12.93162,0.23303,66.08156,70.83815,79.49283,32.22839
2018-05-05 10:37:00,359043379931766130,1.0,12.85602,12.80544,11.24283,9.15721,9.49317,0.02074,62.43626,1.50002,5.68019,89.00914
2018-05-05 10:38:00,863033069630348206,1.0,11.12376,12.79748,10.36778,4.67986,9.84318,0.08816,48.26814,88.2032,84.2395,72.85936
2018-05-05 10:39:00,8630330696303481099,1.0,13.88925,11.88581,6.64201,5.87695,11.16205,0.03712,65.71698,84.86121,76.81986,49.40909
2018-05-05 10:40:00,359043379931766338,1.0,12.09049,11.73993,9.61086,4.36036,9.12413,0.1204,54.71945,97.67195,70.10708,69.21813
2018-05-05 10:41:00,8630330696303481875,1.0,12.24099,11.85949,9.21692,6.85391,9.74355,0.03326,49.91255,79.12839,30.87304,31.68359
2018-05-05 10:42:00,359043379931766213,1.0,13.48165,14.36095,9.95893,9.5343,9.62889,0.00572,36.85845,64.64275,82.79608,34.95928
2018-05-05 10:43:00,8630330696303481578,0.0,8.57462,16.18632,9.49571,8.94646,15.37569,0.4345,62.0888,42.99953,21.92728,63.20284
2018-05-05 10:44:00,3590433799317661297,1.0,12.40748,11.70277,9.09779,8.25264,9.03363,0.1479,59.6896,47.70469,79.33328,10.23354
2018-05-05 10:45:00,359043379931766155,0.0,12.49906,10.00178,9.79144,13.80577,12.45857,0.00753,70.77234,58.42743,15.39816,95.83756
2018-05-05 10:46:00,863033069630348644,0.0,9.83171,11.36836,7.7077,13.81287,5.28348,0.00126,44.91055,96.94514,73.81072,93.76408
2018-05-05 10:47:00,8630330696303481487,0.0,10.23073,11.8592,6.62965,14.53183,8.27733,0.21362,42.28193,23.78741,17.47384,13.60761
2018-05-05 10:48:00,359043379931766932,1.0,5.74382,14.4889,12.28986,4.50839,14.16488,0.02132,69.45605,56.01364,49.73124,21.00637
2018-05-05 10:49:00,8630330696303482147,1.0,9.50347,11.45808,9.23747,6.16499,10.96712,0.22729,44.19065,97.81773,77.33003,21.61194
2018-05-05 10:50:00,3590433799317661875,0.0,11.98018,7.92626,7.64494,17.98146,4.97136,0.08086,44.31568,17.55216,37.00503,79.74002
2018-05-05 10:51:00,863033069630348016,1.0,12.39249,12.14762,9.88328,7.56217,8.41863,0.30229,43.70911,61.15195,89.73507,70.28472
