latitude	longitude	store_name	code	location	imei
-17.74431	-48.62789	Caldas Novas	BR	America/Sao_Paulo	3590433799317661255
25.49043	85.94001	Teghra	IN	Asia/Kolkata	3590433799317662063
-3.20333	-52.20639	Altamira	BR	America/Santarem	863033069630348388
31.96258	73.97117	Naushahra Virkan	PK	Asia/Karachi	3590433799317661388
32.61603	44.02488	Karbala	IQ	Asia/Baghdad	8630330696303481024
44.97639	19.61222	Sremska Mitrovica	RS	Europe/Belgrade	3590433799317661248
33.50921	-111.89903	Scottsdale	US	America/Phoenix	863033069630348289
53.46506	-1.47217	Chapletown	GB	Europe/London	863033069630348149
36.76775	2.95924	Cheraga	DZ	Africa/Algiers	3590433799317661321
68.79833	16.54165	Harstad	NO	Europe/Oslo	3590433799317661859
35.89972	14.51472	Valletta	MT	Europe/Malta	863033069630348933
38.13708	41.00817	Silvan	TR	Europe/Istanbul	3590433799317661222
53.93361	37.92792	Kireyevsk	RU	Europe/Moscow	863033069630348974
38.07789	13.44275	Villabate	IT	Europe/Rome	3590433799317661024
33.78333	114.51667	Wacheng	CN	Asia/Shanghai	3590433799317662311
7.50251	5.06258	Igbara-Odo	NG	Africa/Lagos	863033069630348065
16.06213	76.0586	Hungund	IN	Asia/Kolkata	3590433799317661503
51.19139	6.51352	Korschenbroich	DE	Europe/Berlin	3590433799317662162
25.6439	77.9129	Narwar	IN	Asia/Kolkata	8630330696303482006
18.51957	73.85535	Pune	IN	Asia/Kolkata	863033069630348354
25.92127	86.79271	Madhipura	IN	Asia/Kolkata	3590433799317661487
22.98212	-80.58556	Corralillo	CU	America/Havana	3590433799317661776
25.75728	75.37991	Deoli	IN	Asia/Kolkata	3590433799317661156
-38.16604	145.13643	Frankston South	AU	Australia/Melbourne	359043379931766908
20.14298	-77.43532	Media Luna	CU	America/Havana	8630330696303481511
-33.38056	-56.52361	Durazno	UY	America/Montevideo	359043379931766049
21.46527	83.97573	Sambalpur	IN	Asia/Kolkata	863033069630348479
32.35126	-95.30106	Tyler	US	America/Chicago	3590433799317662147
37.58105	29.26639	Serinhisar	TR	Europe/Istanbul	3590433799317661024
38.58894	-89.99038	Fairview Heights	US	America/Chicago	3590433799317661610
-6.91806	106.92667	Sukabumi	ID	Asia/Jakarta	8630330696303481909
32.87533	71.57118	Daud Khel	PK	Asia/Karachi	3590433799317661792
42.8334	-80.38297	Norfolk County	CA	America/Toronto	8630330696303481453
40.56754	-89.64066	Pekin	US	America/Chicago	3590433799317661123
30.81383	75.16878	Moga	IN	Asia/Kolkata	863033069630348818
-4.26613	15.28318	Brazzaville	CG	Africa/Brazzaville	8630330696303481156
33.44872	-86.78777	Vestavia Hills	US	America/Chicago	8630330696303481735
54.58048	16.86194	Ustka	PL	Europe/Warsaw	3590433799317661933
54.39635	24.04142	Alytus	LT	Europe/Vilnius	3590433799317662261
53.63333	9.85	Halstenbek	DE	Europe/Berlin	863033069630348669
32.87533	71.57118	Daud Khel	PK	Asia/Karachi	8630330696303481388
35.815	139.6853	Shimotoda	JP	Asia/Tokyo	863033069630348214
49.183239	15.454273	Telč	CZ	Europe/Prague	863033069630348826
53.16167	6.76111	Hoogezand	NL	Europe/Amsterdam	863033069630348412
23.0072	-82.4017	Boyeros	CU	America/Havana	8630330696303481370
18.65297	-72.09391	Thomazeau	HT	America/Port-au-Prince	359043379931766833
54.60528	18.34717	Reda	PL	Europe/Warsaw	3590433799317661479
25.67927	-80.31727	Kendall	US	America/New_York	3590433799317662287
12.95629	78.27539	Robertsonpet	IN	Asia/Kolkata	863033069630348792
27.9247	78.40102	Chharra	IN	Asia/Kolkata	863033069630348396
-19.7625	-44.31389	Esmeraldas	BR	America/Sao_Paulo	8630330696303482386
36.06523	-119.01677	Porterville	US	America/Los_Angeles	359043379931766916
52.48173	-2.12139	Brierley Hill	GB	Europe/London	359043379931766353
53.46506	-1.47217	Chapletown	GB	Europe/London	8630330696303481271
45.69558	4.7934	Saint-Genis-Laval	FR	Europe/Paris	8630330696303481420
50.80904	8.77069	Marburg an der Lahn	DE	Europe/Berlin	3590433799317662139
21.34222	71.30633	Kundla	IN	Asia/Kolkata	359043379931766908
37.08819	-8.2503	Albufeira	PT	Europe/Lisbon	3590433799317661537
9.15093	-79.62098	Chilibre	PA	America/Panama	359043379931766643
46.67535	5.55575	Lons-le-Saunier	FR	Europe/Paris	8630330696303481008
32.65246	51.67462	Isfahan	IR	Asia/Tehran	359043379931766056
30.24706	115.04814	Huangshi	CN	Asia/Shanghai	8630330696303481073
27.52948	68.75915	Khairpur Mir‚Äôs	PK	Asia/Karachi	3590433799317662121
-10.90889	-37.03861	Barra dos Coqueiros	BR	America/Maceio	359043379931766361
40.53123	17.58522	Francavilla Fontana	IT	Europe/Rome	3590433799317661339
18.00747	-76.78319	New Kingston	JM	America/Jamaica	8630330696303481446
42.06166	-1.60452	Tudela	ES	Europe/Madrid	3590433799317661479
35.25064	-91.73625	Searcy	US	America/Chicago	863033069630348354
45.50369	11.412	Montecchio Maggiore-Alte Ceccato	IT	Europe/Rome	3590433799317662014
-22.97056	-46.99583	Valinhos	BR	America/Sao_Paulo	3590433799317662063
24.28859	116.11768	Meizhou	CN	Asia/Shanghai	8630330696303482121
-8.05389	-34.88111	Recife	BR	America/Recife	8630330696303482279
45.53929	-122.38731	Troutdale	US	America/Los_Angeles	8630330696303481651
40.85158	122.74754	Haicheng	CN	Asia/Shanghai	8630330696303481446
-7.01833	107.60389	Pameungpeuk	ID	Asia/Jakarta	8630330696303482188
53.53395	33.72798	Zhukovka	RU	Europe/Moscow	8630330696303482287
45.49428	-122.86705	Aloha	US	America/Los_Angeles	3590433799317662378
27.71809	-82.35176	Sun City Center	US	America/New_York	359043379931766767
54.48147	53.47103	Oktyabr‚Äôskiy	RU	Asia/Yekaterinburg	3590433799317661917
31.39547	34.75699	Rahat	IL	Asia/Jerusalem	8630330696303481198
25.80565	68.49143	Bhit Shah	PK	Asia/Karachi	359043379931766437
48.975658	14.480255	České Budějovice	CZ	Europe/Prague	3590433799317661750
42.30865	-83.48216	Canton	US	America/Detroit	863033069630348487
33.41012	-91.06177	Greenville	US	America/Chicago	359043379931766908
38.13708	41.00817	Silvan	TR	Europe/Istanbul	3590433799317661503
10.10649	76.35484	Alwaye	IN	Asia/Kolkata	8630330696303481685
52.59319	13.32127	Wittenau	DE	Europe/Berlin	863033069630348818
40.72371	-73.95097	Greenpoint	US	America/New_York	8630330696303482469
10.12268	77.54372	Periyakulam	IN	Asia/Kolkata	863033069630348560
55.38752	36.73307	Naro-Fominsk	RU	Europe/Moscow	8630330696303482204
-33.59217	-70.6996	San Bernardo	CL	America/Santiago	8630330696303482139
40.72816	-74.07764	Jersey City	US	America/New_York	863033069630348958
50.20528	19.27498	Jaworzno	PL	Europe/Warsaw	3590433799317661750
37.30553	120.82747	Zhuangyuan	CN	Asia/Shanghai	863033069630348099
-23.7975	-48.59278	Buri	BR	America/Sao_Paulo	8630330696303482204
-19.7625	-44.31389	Esmeraldas	BR	America/Sao_Paulo	359043379931766601
37.73604	-120.93549	Riverbank	US	America/Los_Angeles	8630330696303481818
22.37066	114.10479	Tsuen Wan	HK	Asia/Hong_Kong	863033069630348628
46.08333	122.08333	Ulanhot	CN	Asia/Shanghai	359043379931766254
32.35126	-95.30106	Tyler	US	America/Chicago	8630330696303481032
43.61092	3.87723	Montpellier	FR	Europe/Paris	359043379931766007
41.6764	-91.58045	Coralville	US	America/Chicago	3590433799317661750
45.43341	-73.86586	Beaconsfield	CA	America/Toronto	359043379931766866
34.06635	-84.67837	Acworth	US	America/New_York	8630330696303481156
37.05944	37.3825	Gaziantep	TR	Europe/Istanbul	359043379931766130
53.49389	-1.29243	Mexborough	GB	Europe/London	863033069630348149
23.18	88.58	Aistala	IN	Asia/Kolkata	3590433799317661412
3.31332	117.59152	Tarakan	ID	Asia/Makassar	3590433799317662113
35.72917	10.58082	Msaken	TN	Africa/Tunis	3590433799317662360
9.15093	-79.62098	Chilibre	PA	America/Panama	8630330696303481941
43.1122	12.38878	Perugia	IT	Europe/Rome	359043379931766023
60.97944	76.92421	Izluchinsk	RU	Asia/Yekaterinburg	359043379931766031
10.31672	123.89071	Cebu City	PH	Asia/Manila	8630330696303481271
-3.5403	118.9707	Majene	ID	Asia/Makassar	863033069630348610
42.30865	-83.48216	Canton	US	America/Detroit	3590433799317661255
49.593777	17.250879	Olomouc	CZ	Europe/Prague	3590433799317661487
32.54278	111.50861	Danjiangkou	CN	Asia/Shanghai	8630330696303481032
47.64995	-117.23991	Opportunity	US	America/Los_Angeles	8630330696303481818
41.9001	-71.08977	Taunton	US	America/New_York	359043379931766965
33.52253	-117.70755	Laguna Niguel	US	America/Los_Angeles	3590433799317661248
40.85158	122.74754	Haicheng	CN	Asia/Shanghai	8630330696303481917
31.12406	-97.90308	Copperas Cove	US	America/Chicago	359043379931766916
5.27247	-3.59625	Bonoua	CI	Africa/Abidjan	8630330696303481149
31.12406	-97.90308	Copperas Cove	US	America/Chicago	863033069630348248
50.75932	25.34244	Lutsk	UA	Europe/Kyiv	3590433799317661214
48.35693	10.98461	Friedberg	DE	Europe/Berlin	8630330696303481826
53.78333	-1.06667	Selby	GB	Europe/London	8630330696303481750
38.54491	-121.74052	Davis	US	America/Los_Angeles	3590433799317661024
36.64852	51.49621	Nowshahr	IR	Asia/Tehran	8630330696303482154
23.73333	114.68333	Heyuan	CN	Asia/Shanghai	8630330696303482279
19.64745	-102.04897	Paracho de Verduzco	MX	America/Mexico_City	8630330696303482113
4.96667	10.7	Tonga	CM	Africa/Douala	8630330696303481206
53.53395	33.72798	Zhukovka	RU	Europe/Moscow	8630330696303481065
45.73333	4.91667	Bron	FR	Europe/Paris	8630330696303482014
55.82885	-4.21376	Rutherglen	GB	Europe/London	359043379931766924
48.90982	2.45012	Bobigny	FR	Europe/Paris	8630330696303482329
41.50343	-74.01042	Newburgh	US	America/New_York	3590433799317661651
-22.53722	-42.98194	Guapimirim	BR	America/Sao_Paulo	8630330696303482006
10.20898	123.758	Naga	PH	Asia/Manila	863033069630348982
47.90771	106.88324	Ulan Bator	MN	Asia/Ulaanbaatar	8630330696303481966
26.18924	-98.15529	San Juan	US	America/Chicago	359043379931766312
2.41669	30.98551	Paidha	UG	Africa/Kampala	8630330696303482097
33.4425	129.96972	Karatsu	JP	Asia/Tokyo	3590433799317661313
10.98778	-74.95472	Puerto Colombia	CO	America/Bogota	3590433799317662147
14.95472	120.89694	Baliuag	PH	Asia/Manila	8630330696303481297
20.88098	75.11937	Parola	IN	Asia/Kolkata	863033069630348115
53.46506	-1.47217	Chapletown	GB	Europe/London	8630330696303482238
-22.97056	-46.99583	Valinhos	BR	America/Sao_Paulo	863033069630348354
0.51667	101.44167	Pekanbaru	ID	Asia/Jakarta	8630330696303482469
42.4251	-71.06616	Malden	US	America/New_York	8630330696303481446
