ts	imei	mwra	p.android.documentsui	p.android.packageinstaller	p.android.chrome	p.android.gm	p.android.settings	p.system	p.android.externalstorage	p.browser.provider	p.katana	p.android.gms	p.dogalize	p.notifier	p.android.vending	p.olauncher	p.inputmethod.latin	p.gms.persistent	p.google	p.android.defcontainer	p.simulator	p.process.gapps
2018-05-05 10:00:00	3590433799317661552	0.00000	10.41288	12.10573	8.22931	10.13740	6.67242	12.19972	16.05960	47.49236	61.21819	47.24665	52.82765	56.66414	61.06371	41.00472	30.58715	66.56100	82.77688	6.74783	0.08861	96.12825
2018-05-05 10:01:00	8630330696303481248	1.00000	10.33121	11.50095	9.98382	13.33339	8.00163	12.28783	15.82164	58.76305	44.39410	30.64593	48.23484	79.01144	96.89301	31.85145	51.37286	71.82138	17.33041	85.65002	0.33521	62.39986
2018-05-05 10:02:00	359043379931766676	1.00000	10.80150	11.84003	13.05403	8.57655	14.48068	13.50850	7.01439	54.45994	86.28699	49.44367	40.96054	65.72385	91.19765	45.78153	56.00241	87.87782	49.48799	81.53604	32.83681	3.40016
2018-05-05 10:03:00	863033069630348883	1.00000	11.51029	15.37540	2.46843	12.57560	13.54460	15.13217	7.92276	38.04568	57.76391	52.15701	20.52500	85.25022	73.70394	95.75816	2.33578	36.87940	30.28110	88.54325	4.80845	14.41382
2018-05-05 10:04:00	8630330696303482329	1.00000	8.97858	11.55477	9.10975	15.75889	8.43817	8.33682	13.89221	44.37875	48.00526	32.70212	27.28982	72.74010	48.66501	69.55729	57.42635	98.48091	44.78293	16.31943	31.47864	31.06172
2018-05-05 10:05:00	3590433799317661339	0.00000	13.33669	14.51895	7.54015	8.78386	9.59291	14.17240	6.59699	61.69984	71.07800	76.77973	36.33629	35.01822	2.31786	75.96315	59.46268	53.41557	62.05717	21.46220	83.51914	48.92708
2018-05-05 10:06:00	863033069630348982	1.00000	9.60915	11.29612	9.78123	10.29157	8.44442	4.58169	11.81694	43.62466	66.35183	42.87928	48.48583	61.07447	57.27852	9.32707	5.21373	66.83741	1.83280	87.65497	56.83905	36.42540
2018-05-05 10:07:00	3590433799317661636	0.00000	8.01520	15.79133	8.54057	12.02071	10.60400	9.12462	13.66179	46.02546	60.11757	56.98965	44.70971	58.47447	17.35022	67.53903	7.89846	32.60624	73.56335	6.12233	65.74315	79.82718
2018-05-05 10:08:00	8630330696303481586	0.00000	14.35549	11.41153	9.42429	7.91608	15.42889	14.58390	9.74641	38.77375	61.79584	34.84914	31.27771	19.03228	8.27576	11.25707	83.90432	31.33949	70.63342	11.74584	59.96043	16.37079
2018-05-05 10:09:00	863033069630348503	1.00000	10.65673	12.82513	13.31970	12.65829	15.98093	11.26885	6.70992	39.94293	54.80183	40.76106	44.54064	53.09590	4.89712	4.05675	72.56218	85.63067	63.46767	89.15499	53.37257	11.12590
2018-05-05 10:10:00	3590433799317661230	1.00000	10.27316	12.39556	12.49318	14.13349	10.81695	10.21171	9.76904	43.11262	39.34824	54.74804	57.11966	86.13121	80.16523	7.21592	85.29832	25.94271	99.98662	99.73355	21.14325	69.65085
2018-05-05 10:11:00	8630330696303482303	0.00000	16.29913	14.24929	16.99401	9.46960	15.98190	12.44491	10.33172	43.63194	54.31796	45.23733	43.45470	16.45269	60.38326	11.78428	39.89633	46.55179	23.94116	18.68136	73.65419	22.67911
2018-05-05 10:12:00	3590433799317662279	1.00000	6.67206	9.61380	8.44645	13.39750	9.45930	12.65521	10.66879	69.46370	67.26218	56.15389	59.15415	27.16704	9.19456	33.96066	29.73205	80.38402	12.43064	52.89518	44.93382	0.38128
2018-05-05 10:13:00	8630330696303481065	1.00000	9.90665	13.51531	7.94431	13.01701	8.30900	11.78836	9.15197	53.26751	57.51228	40.31282	32.62951	71.16731	48.46886	19.22972	63.33446	29.71583	83.49484	96.65329	97.67878	25.56106
2018-05-05 10:14:00	863033069630348560	1.00000	10.57826	15.02828	9.55089	10.46926	10.99417	6.57300	10.84631	50.32076	56.10785	42.49538	59.52358	8.14408	53.28504	65.14885	89.52103	22.43848	1.88496	20.10507	65.19579	88.20935
2018-05-05 10:15:00	359043379931766726	0.00000	11.69226	12.63104	3.46036	7.50289	15.69450	14.91767	9.94101	62.51317	39.02576	24.60433	24.97382	23.14555	38.16062	68.74105	34.61435	19.38341	1.91616	55.47702	1.33373	78.32969
2018-05-05 10:16:00	3590433799317661099	0.00000	11.18485	12.80682	5.18777	7.69978	14.46958	13.67237	9.34779	47.70771	39.78693	27.39829	33.40929	62.81367	7.91786	3.75226	34.63020	89.41963	7.73284	1.01442	60.10081	77.88662
2018-05-05 10:17:00	863033069630348438	1.00000	8.17164	13.78899	8.83763	10.89975	8.27616	5.86270	13.54941	50.12428	66.27003	56.43710	27.98136	89.57925	58.15002	63.79891	13.33113	68.52125	93.79231	59.18166	18.27781	56.50548
2018-05-05 10:18:00	3590433799317662071	0.00000	11.81822	12.16968	11.97462	9.50469	11.83010	10.48216	10.07677	68.87554	61.22958	47.25661	47.12964	14.11144	43.47698	42.60322	93.86554	32.72011	1.11616	97.10281	59.95733	75.35224
2018-05-05 10:19:00	863033069630348602	1.00000	8.71667	13.83845	7.87728	10.89250	9.57598	9.90954	11.91821	41.62837	57.14141	36.03719	29.55717	1.85498	53.48511	88.79647	3.70200	74.66123	81.71539	6.24474	30.34165	96.81737
2018-05-05 10:20:00	863033069630348123	0.00000	8.55568	13.25160	8.94429	13.99925	8.18782	11.35758	14.64005	49.10619	42.18671	13.47747	42.16498	30.56927	71.07294	46.11936	31.79673	66.11155	21.93967	73.43518	15.43520	47.13179
2018-05-05 10:21:00	863033069630348263	1.00000	10.00602	13.92285	6.26088	9.80560	10.76961	10.49125	9.80999	40.79583	58.97981	59.41352	45.24078	75.17221	83.67654	25.58628	65.30367	69.70745	17.02812	91.29708	3.17659	37.21067
2018-05-05 10:22:00	863033069630348768	0.00000	14.13298	12.75482	8.87098	7.56163	9.66818	13.97240	7.80262	71.98499	69.30542	51.55519	50.61337	86.64541	85.80629	30.09974	69.86825	57.81340	77.40498	4.33072	16.67979	50.01030
2018-05-05 10:23:00	8630330696303481909	1.00000	11.71506	13.12728	8.57179	10.35672	13.98606	14.03014	8.65207	59.18096	58.16150	18.42938	58.01683	76.46484	17.93646	47.31844	73.05432	0.02595	10.50663	35.32229	53.48612	40.27565
2018-05-05 10:24:00	3590433799317661214	0.00000	12.08203	13.73392	11.05311	10.56758	11.84451	10.97622	8.70574	49.77314	60.03722	60.79813	47.09422	84.92058	91.26201	16.34423	73.54318	56.72876	75.93973	52.13368	26.48321	22.49381
2018-05-05 10:25:00	3590433799317662402	1.00000	9.57004	12.59836	10.48692	12.51577	12.41871	12.78590	9.00418	50.60865	63.79223	61.86561	32.14042	7.08557	73.95670	80.64580	33.70830	11.23606	52.46411	17.70905	90.64542	76.40355
2018-05-05 10:26:00	8630330696303481065	1.00000	7.26908	12.92783	10.57696	10.91139	10.78582	7.27290	10.81728	49.55356	31.08405	62.03481	41.30321	17.49746	46.74874	77.74692	45.27465	29.93059	73.12949	57.99929	77.78256	65.54370
2018-05-05 10:27:00	3590433799317661958	0.00000	11.37941	13.77747	11.35601	6.50144	14.50569	13.56640	9.71622	37.52068	54.56359	50.66963	44.27946	33.92152	99.66850	92.28568	27.75705	29.81662	94.52747	61.39137	64.94275	96.25546
2018-05-05 10:28:00	8630330696303481818	1.00000	8.04176	10.81338	6.44219	13.43540	8.83635	13.19138	9.12075	45.42072	61.81833	45.89234	63.22127	45.00942	87.03185	17.51064	1.83914	90.49448	17.90233	34.80965	7.24792	14.68525
2018-05-05 10:29:00	359043379931766916	1.00000	10.83055	11.45072	6.46686	13.91366	6.17532	9.46633	14.16502	53.71335	39.99445	38.64115	32.08801	68.14645	37.39395	44.46734	33.19288	30.62544	44.55386	45.49674	30.44823	23.43248
2018-05-05 10:30:00	3590433799317662097	1.00000	11.13979	15.16503	7.74277	10.17512	10.78548	10.60403	10.08239	50.83328	69.57185	55.53701	41.79163	28.73523	86.40341	1.95542	86.34119	67.12582	7.00867	42.52506	29.48934	91.25859
2018-05-05 10:31:00	359043379931766379	1.00000	5.42135	13.20784	10.36677	14.41771	14.69287	13.37117	10.53468	53.07646	62.28743	65.24776	57.02468	41.83409	34.65402	10.57268	25.39310	14.68688	57.21271	73.27847	93.02733	41.70863
2018-05-05 10:32:00	3590433799317662410	1.00000	6.94550	10.91410	11.63526	16.85007	10.35989	13.29952	12.02089	36.68841	47.86133	24.57190	47.17794	54.05616	8.50016	26.30773	61.46600	52.83968	29.47494	53.14552	13.88638	42.11018
2018-05-05 10:33:00	3590433799317661578	0.00000	14.12315	12.87265	9.79217	7.67391	13.64217	13.11787	10.17912	53.61026	67.49706	25.29016	47.29670	15.25830	85.22416	88.08256	76.01121	80.11786	90.59984	94.56679	11.30582	93.33397
2018-05-05 10:34:00	3590433799317661784	1.00000	6.12600	14.34448	10.43150	16.53310	8.32613	8.48079	14.84473	49.31799	43.88112	44.32526	44.55337	30.17710	86.87188	68.99090	11.74426	3.63385	96.25053	7.93012	29.41251	43.51957
2018-05-05 10:35:00	359043379931766015	1.00000	7.44614	12.45583	10.67966	13.09836	11.19918	12.03968	12.20862	29.97837	57.22004	45.63761	11.97226	38.23290	3.56775	45.95834	51.92301	61.76289	66.48860	85.82518	30.99209	97.79313
2018-05-05 10:36:00	863033069630348537	1.00000	10.15622	14.58578	6.77996	12.78602	13.93364	12.11254	10.87298	39.60867	52.80880	51.38288	47.30387	82.75408	25.00879	60.68039	3.90888	24.52626	35.54984	25.77948	92.42645	7.03345
2018-05-05 10:37:00	359043379931766130	1.00000	8.17749	12.16541	11.16091	14.61727	8.91417	9.06392	14.93802	56.18401	46.02212	36.00344	43.89864	85.72735	30.94690	95.04521	45.68758	24.83252	1.17974	10.39320	45.19652	46.26315
2018-05-05 10:38:00	863033069630348206	1.00000	14.17462	13.61297	9.68663	13.43551	11.78361	10.17932	13.14020	52.75103	43.17238	32.31633	40.52094	42.48942	50.18795	18.75166	23.42580	38.82878	30.32002	31.32570	60.70683	73.33134
2018-05-05 10:39:00	8630330696303481099	1.00000	8.44213	12.74856	11.81998	13.53908	11.11838	9.13053	11.14232	32.87044	49.46248	40.59555	38.52479	22.24988	61.69535	51.58185	86.30876	81.86089	36.37235	11.37326	95.34400	41.48750
2018-05-05 10:40:00	359043379931766338	1.00000	9.35003	13.92559	10.83076	14.84097	8.62747	11.13419	13.32472	54.29692	45.77118	33.15787	36.35579	66.28045	18.64006	54.46724	15.62636	30.49779	56.67927	82.75380	45.96360	30.02361
2018-05-05 10:41:00	8630330696303481875	1.00000	8.40094	12.63847	8.61848	14.45831	8.35664	10.76161	14.79476	35.29773	46.00093	79.04896	52.08894	44.75377	33.98752	8.78417	71.05879	44.60994	70.98381	49.77899	91.61490	14.93707
2018-05-05 10:42:00	359043379931766213	1.00000	8.38860	10.87367	9.76816	17.79276	7.58489	10.04329	15.12629	38.37508	53.13005	17.62956	38.92231	81.97591	20.09143	66.64918	83.11314	80.79682	7.36220	21.05406	57.70783	62.72112
